task,decision_prompt,answer_type,answer
"A water supply main pipe is $1000 \mathrm{~m}$ long, with an internal diameter $d=300 \mathrm{~mm}$, and equivalent roughness $k_{s}$ of the pipe wall is $1.2 \mathrm{~mm}$. The water temperature $T$ is $10^{\circ} \mathrm{C}$. Find the flow rate when the head loss is $7.05 \mathrm{~m}$.
Options:
A. 87.3L/s
B. 84.5L/s
C. 82.0L/s
D. 82.5L/s
E. All other answers are incorrect
F. 93.0L/s","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"Air flows isothermally through a pipe with a diameter of 25 mm and a length of 20 m at a temperature of $15^{\circ} \mathrm{C}$. The inlet velocity is $65 \mathrm{~m} / \mathrm{s}$, and the outlet velocity is $95 \mathrm{~m} / \mathrm{s}$. The outlet is at atmospheric pressure, which is 101.325 kPa. Calculate the friction factor along the pipe.
Options:
A. 0.018
B. 0.013
C. 0.008
D. 0.02
E. All other answers are incorrect
F. 0.016","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"In a vertical shaft coal mill, with an air upward flow velocity $u=2 \mathrm{~m} / \mathrm{s}$, kinematic viscosity $\nu=2 \times 10^{5} \mathrm{~m}^{2} / \mathrm{s}$, air density $\rho_{\mathrm{a}}=1 \mathrm{~kg} / \mathrm{m}^{3}$, and coal density $\rho_{\mathrm{m}}=1500 \mathrm{~kg} / \mathrm{m}^{3}$, find the maximum diameter of coal particles that can be carried away by the upward airflow.
Options:
A. 2.05mm
B. 1.51mm
C. 1.89mm
D. 2.11mm
E. 1.95mm
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"The air temperature is $40^{\circ} \mathrm{C}$, velocity $U_{0}=40 \mathrm{~m} / \mathrm{s}$, flowing over a smooth plate with a length of 6 m and a width of 2 m, with the flow direction consistent with the long side of the plate. Assuming the condition for the boundary layer transition from laminar to turbulent flow is $R_{e_{c}=10^{6}}$, find the total frictional resistance on both sides of the plate.
Options:
A. All other answers are incorrect
B. 52.4N
C. 55.2N
D. 50.0N
E. 54.4N
F. 58.8N","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"Air flows adiabatically in a horizontal pipeline with a diameter of 100 mm, with a mass flow rate of $2.7 \mathrm{~kg} / \mathrm{s}$, a friction factor $\lambda=0.02$, an initial section pressure of 180 kPa, and a temperature of $40^{\circ} \mathrm{C}$. Find the maximum pipe length that does not cause airflow blocking, and calculate the corresponding outlet section temperature and pressure values.
Options:
A. 5.85m,274K,112.00kPa
B. 6.50m,268K,113.75kPa
C. 6.05m,270K,110.00kPa
D. 5.99m,273K,111.63kPa
E. All other answers are incorrect
F. 5.70m,275K,115.10kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"A gas pipeline with a diameter of 200 mm and a length of 3000 m has an inlet pressure and temperature of 980 kPa and 300 K, and an outlet pressure of 490 kPa. Given that the gas possesses $R=490 \mathrm{~J} /(\mathrm{kg} \cdot \mathrm{K}), \boldsymbol{\kappa}=1.3$, and the friction factor along the pipeline is 0.015, calculate the mass flow rate through the pipeline.
Options:
A. 5.436kg/s
B. 4.963kg/s
C. 4.836kg/s
D. 4.336kg/s
E. All other answers are incorrect
F. 4.636kg/s","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"An isothermal pipeline, 150 m long, with an inlet pressure and temperature of 800 kPa and $15^{\circ} \mathrm{C}$ respectively, and an outlet pressure of 600 kPa, has a friction factor of 0.012. The required mass flow rate of air is $0.30 \mathrm{~kg} / \mathrm{s}$. Calculate the required pipe diameter.
Options:
A. 70mm
B. 65mm
C. 55mm
D. All other answers are incorrect
E. 75mm
F. 60mm","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"In a circular ventilation duct with a diameter of 2 meters, the flow velocities at the center of the pipe and at a distance of $\frac{1}{8}$ of the diameter from the pipe wall are measured to be $6 \mathrm{~m} / \mathrm{s}$ and $5 \mathrm{~m} / \mathrm{s}$, respectively. Calculate the airflow through the duct (assuming turbulent rough flow).
Options:
A. 16.10$m^{3}$/s
B. 13.75$m^{3}$/s
C. All other answers are incorrect
D. 15.43$m^{3}$/s
E. 14.37$m^{3}$/s
F. 12.89$m^{3}$/s","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"The air temperature is $20^{\circ} \mathrm{C}$, flowing along a smooth flat plate with a length of 3 m and a width of 0.3 m at a speed of $21.0 \mathrm{~m} / \mathrm{s}$. Given that the condition for the transition of the plate boundary layer from laminar to turbulent is $R_{e_{c}}=5 \times 10^{5}$, find the drag force ratio in the lengthwise and widthwise directions of the flow.
Options:
A. $\frac{F_L}{F_B}=1.527$
B. $\frac{F_L}{F_B}=1.377$
C. $\frac{F_L}{F_B}=1.497$
D. $\frac{F_L}{F_B}=1.217$
E. $\frac{F_L}{F_B}=1.427$
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"A small sphere with diameter $d=10 \mathrm{~mm}$ is descending at a constant speed of $\omega=0.45 \mathrm{~m/s}$ in still water. The water temperature is $t=10^{\circ} \mathrm{C}$. Please calculate the drag force on the sphere and the density of the sphere.
Options:
A. 3.10×$10^{3}$N, 1620kg/$m^{3}$
B. 3.00×$10^{3}$N, 1610kg/$m^{3}$
C. 3.25×$10^{3}$N, 1625kg/$m^{3}$
D. 3.50×$10^{3}$N, 1600kg/$m^{3}$
E. 3.18×$10^{3}$N, 1619.4kg/$m^{3}$
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"A smooth flat plate is 2.0 m wide and 25 m long and is submerged in still water, being dragged horizontally at a speed of $u=5 \mathrm{~m} / \mathrm{s}$. The water temperature is $20^{\circ} \mathrm{C}$. Determine the boundary layer thickness at the end of the plate and the total frictional resistance $D_{f}$ on both sides of the plate.
Options:
A. All other answers are incorrect
B. 229mm, 2219.5N
C. 231mm, 2229N
D. 228mm, 2249N
E. 213mm, 2189N
F. 225mm, 2209.5N","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"There is a heat source inside a cylinder: $\dot{q}=C_{1}+C_{2} r^{2}$. If the temperature at the surface of the cylinder $(r=R)$ is $T_{0}$, find the temperature distribution inside the cylinder (consider it as one-dimensional heat conduction).
Options:
A. $T=-\frac{\frac{C_1}{4}\left(r^2-R^2\right)+\frac{C_2}{18}\left(r^4-R^4\right)}{k}+T_0$
B. All other answers are incorrect
C. $T=-\frac{\frac{C_1}{3}\left(r^2-R^2\right)+\frac{C_2}{16}\left(r^4-R^4\right)}{k}+T_0$
D. $T=-\frac{\frac{C_1}{5}\left(r^2-R^2\right)+\frac{C_2}{16}\left(r^4-R^4\right)}{k}+T_0$
E. $T=-\frac{\frac{C_1}{4}\left(r^2-R^2\right)+\frac{C_2}{16}\left(r^4-R^4\right)}{k}+T_0$
F. $T=-\frac{\frac{C_1}{4}\left(r^2-R^2\right)+\frac{C_2}{15}\left(r^4-R^4\right)}{k}+T_0$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"In the one-dimensional heat conduction process of a symmetrical shape, the known conditions are as follows: There is no internal heat source, $A(x)=(1-x)$ $\left(\mathbf{m}^{2}\right), T(x)=300\left(1-2 x-x^{3}\right)$ (K), $q=6000$ (W). In the above formula, $\mathbf{A}$ is the cross-sectional area. Try to calculate the thermal conductivity.
Options:
A. $\frac{6000}{\left(4 x^2+2\right)(1-x)}$
B. $\frac{6000}{\left(3 x^2+2\right)(1-x)}$
C. $\frac{6000}{\left(2.5 x^2+2\right)(1-x)}$
D. All other answers are incorrect
E. $\frac{6000}{\left(3 x^2+1.5\right)(1-x)}$
F. $\frac{6000}{\left(3 x^2+2.5\right)(1-x)}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"The temperature distribution in a tube is $\mathbf{T}(\mathbf{r}, \mathrm{z})$, the velocity distribution is $\mathbf{u}(\mathbf{r})$, and the tube radius is $\mathbf{R}$. The fluid density and specific heat inside the tube are considered constants. The tube is placed in air at a temperature of $\mathbf{T}_{\infty}$ with a heat transfer coefficient of $\mathbf{h}_{1}$. Try to give the expression for the heat transfer coefficient $\mathbf{h}$ inside the tube and the Nusselt number, both in terms of the given physical quantities.
Options:
A. $\begin{aligned} & h=\frac{h_1\left(T(R, z)-T_{\infty}\right)}{T_m-T(R, z)} \\ & N u=\frac{\left.2 R^2 \cdot \frac{\partial T}{\partial r}\right|_{r=R}}{T_m-T(R, z)} \end{aligned}$
B. $\begin{aligned} & h=\frac{h_1\left(T(R, z)+T_{\infty}\right)}{T_m-T(R, z)} \\ & N u=\frac{\left.2 R \cdot \frac{\partial T}{\partial r}\right|_{r=R}}{T_m-T(R, z)} \end{aligned}$
C. All other answers are incorrect
D. $\begin{aligned} & h=\frac{h_1\left(T(R, z)-T_{\infty}\right)}{T_m+T(R, z)} \\ & N u=\frac{\left.2 R \cdot \frac{\partial T}{\partial r}\right|_{r=R}}{T_m-T(R, z)} \end{aligned}$
E. $\begin{aligned} & h=\frac{h_1\left(T(R, z)-T_{\infty}\right)}{T_m-T(R, z)} \\ & N u=\frac{\left.2 R \cdot \frac{\partial T}{\partial r}\right|_{r=R}}{T_m-T(R, z)} \end{aligned}$
F. $\begin{aligned} & h=\frac{h_1\left(T(R, z)-T_{\infty}\right)}{T_m-T(R, z)} \\ & N u=\frac{\left.R \cdot \frac{\partial T}{\partial r}\right|_{r=R}}{T_m-T(R, z)} \end{aligned}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
