question_id,question,options,answer,answer_index,cot_content,category,src
6292,"The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model
Options:
 A. Stability
B. Train
C. Consistency
D. Attachment
E. Continuity
F. Convoy
G. Constant
H. Companionship
I. Companion
J. Cohort","['Stability' 'Train' 'Consistency' 'Attachment' 'Continuity' 'Convoy'
 'Constant' 'Companionship' 'Companion' 'Cohort']",F,5,,health,ori_mmlu-human_aging
12236,"A signal source operating at 50MHz has an output impedance of 20 ohms. It is to supply power through a coaxial line to a load impedance of 150 + j40 ohms. Is it possible to design a quarter-wave transformer to match the source to the load?
Options:
 A. A quarter-wave transformer with a characteristic impedance of 100 ohms can match the source to the load
B. The matching transformer would need a characteristic impedance = √[(20)(150)] = 54.77 ohms
C. The matching transformer would have a characteristic impedance = \surd[(50)(150)] = 86.60 ohms
D. A quarter-wave transformer cannot provide perfect impedance matching
E. A quarter-wave transformer is unnecessary since the source and load impedances are already matched
F. The load impedance can be made real only if a series inductor of - j40 ohms is added
G. A quarter-wave transformer can provide perfect impedance matching","['A quarter-wave transformer with a characteristic impedance of 100 ohms can match the source to the load'
 'The matching transformer would need a characteristic impedance = √[(20)(150)] = 54.77 ohms'
 'The matching transformer would have a characteristic impedance = \\surd[(50)(150)] = 86.60 ohms'
 'A quarter-wave transformer cannot provide perfect impedance matching'
 'A quarter-wave transformer is unnecessary since the source and load impedances are already matched'
 'The load impedance can be made real only if a series inductor of - j40 ohms is added'
 'A quarter-wave transformer can provide perfect impedance matching']",D,3,,engineering,stemez-ElectronicCommunications
9092,"An ideal gas is contained within a volume of 2ft^3, when the pressure is 137 atmosphere and the temperature is 27° C. What volume would be occupied by this gas if it were allowed to expand to atmospheric pressure at a temperature of 50° C?
Options:
 A. 150ft^3
B. 450ft^3
C. 295ft^3
D. 325ft^3
E. 350ft^3
F. 400ft^3
G. 500ft^3
H. 200ft^3
I. 275ft^3
J. 250ft^3","['150ft^3' '450ft^3' '295ft^3' '325ft^3' '350ft^3' '400ft^3' '500ft^3'
 '200ft^3' '275ft^3' '250ft^3']",C,2,,physics,stemez-Physics
5879,"An adult feels himself becoming aroused when looking at a child and realizes that the response is totally inappropriate, as a result he feels anxiety rather than arousal. This is an example of __________ according to Walen and Roth's cognitive model of the sexual response.
Options:
 A. cognitive arousal
B. negative perception
C. positive perception
D. positive arousal
E. cognitive coherence
F. negative arousal
G. positive evaluation
H. negative evaluation
I. negative dissonance
J. cognitive dissonance","['cognitive arousal' 'negative perception' 'positive perception'
 'positive arousal' 'cognitive coherence' 'negative arousal'
 'positive evaluation' 'negative evaluation' 'negative dissonance'
 'cognitive dissonance']",H,7,,other,ori_mmlu-human_sexuality
1893,"On Thursday morning, two plainclothes police officers were shot to death while trying to arrest a bank robber who had just robbed a bank. Following the killings, the police issued an ""all-points-bulletin"" for the arrest of a 40-year-old Caucasian male (height, 6 feet; weight, 150-155 pounds), who had been seen near the location of the bank robbery. On Friday, a security guard at a local department store was walking down Main Street when he noticed a tall, African American man who fit the bank robbery suspect's description in age, height, and weight. The security guard approached the person (and believing him to be the bank robbery suspect), pulled a gun and arrested him. The security guard held the man in custody until the police arrived a short time later. The police officer informed the security guard that he had arrested the wrong person. The man had told the security guard that he was not the man who had committed the bank robbery and shot the police officers. The man was humiliated by the false arrest. If the man asserts a claim for assault against the security guard, he will
Options:
 A. not succeed, because the man did not suffer any injury from the security guard's act.
B. succeed, if the man can prove the security guard had no reason to suspect him
C. succeed, if the security guard's mistaken belief was unreasonable.
D. not succeed, because the security guard was performing his duty
E. succeed, if the man saw the security guard pointing the gun at him.
F. succeed, if the security guard used excessive force during the arrest
G. succeed, if the man experienced emotional trauma as a result of the false arrest
H. not succeed, because the security guard did not intend to injure the man.","[""not succeed, because the man did not suffer any injury from the security guard's act.""
 'succeed, if the man can prove the security guard had no reason to suspect him'
 ""succeed, if the security guard's mistaken belief was unreasonable.""
 'not succeed, because the security guard was performing his duty'
 'succeed, if the man saw the security guard pointing the gun at him.'
 'succeed, if the security guard used excessive force during the arrest'
 'succeed, if the man experienced emotional trauma as a result of the false arrest'
 'not succeed, because the security guard did not intend to injure the man.']",E,4,,law,ori_mmlu-professional_law
7624,"When a nation is operating at the natural rate of unemployment
Options:
 A. the nation is in a state of deflation.
B. the nation is experiencing an economic boom.
C. there is no structural unemployment.
D. there is no cyclical unemployment.
E. the nation is experiencing a recession.
F. the inflation rate is zero.
G. the nation is at its highest rate of employment.
H. the nation's GDP is at its peak.
I. the nation is experiencing hyperinflation.
J. there is no frictional unemployment.","['the nation is in a state of deflation.'
 'the nation is experiencing an economic boom.'
 'there is no structural unemployment.'
 'there is no cyclical unemployment.'
 'the nation is experiencing a recession.' 'the inflation rate is zero.'
 'the nation is at its highest rate of employment.'
 ""the nation's GDP is at its peak.""
 'the nation is experiencing hyperinflation.'
 'there is no frictional unemployment.']",D,3,,economics,ori_mmlu-high_school_macroeconomics
4703,"The earliest-known use of bronze is found in:
Options:
 A. China.
B. Africa.
C. Australia.
D. North America.
E. South America.
F. Europe.
G. Antarctica.
H. Greece.
I. the Indus Valley.","['China.' 'Africa.' 'Australia.' 'North America.' 'South America.'
 'Europe.' 'Antarctica.' 'Greece.' 'the Indus Valley.']",A,0,,history,ori_mmlu-prehistory
10825," What kind of consequentialist theory does Dershowitz think can justify terrorism in certain extreme particular cases?
Options:
 A. deontological ethics
B. rule-based hedonism
C. act-based deontology
D. egoistic hedonism
E. moral relativism
F. act utilitarianism
G. rule utilitarianism
H. rule egoism
I. virtue ethics
J. act-based hedonism","['deontological ethics' 'rule-based hedonism' 'act-based deontology'
 'egoistic hedonism' 'moral relativism' 'act utilitarianism'
 'rule utilitarianism' 'rule egoism' 'virtue ethics' 'act-based hedonism']",F,5,,philosophy,ori_mmlu-moral_disputes
2438,"Whenever her clients cancel an appointment with Dr. Penny Pincher within less than 24 hours of the appointment, Dr. Pincher routinely bills the client’s insurance company for her full hourly fee. This practice is:
Options:
 A. typically legal, but considered unethical in certain jurisdictions.
B. illegal and unethical.
C. neither legal nor illegal, but ethical.
D. legal but unethical.
E. legal, but not considered best practice.
F. legal and ethical.
G. illegal, but considered best practice.
H. illegal but ethical.
I. neither legal nor illegal, but unethical.
J. illegal, but depends on the specific insurance policy.","['typically legal, but considered unethical in certain jurisdictions.'
 'illegal and unethical.' 'neither legal nor illegal, but ethical.'
 'legal but unethical.' 'legal, but not considered best practice.'
 'legal and ethical.' 'illegal, but considered best practice.'
 'illegal but ethical.' 'neither legal nor illegal, but unethical.'
 'illegal, but depends on the specific insurance policy.']",B,1,,psychology,ori_mmlu-professional_psychology
2974,"What prevents the stomach from being digested by itsown secretions?
Options:
 A. A thick layer of fat surrounds the stomach, providing protection from digestive acids.
B. Special bacteria in the stomach neutralize all digestive enzymes.
C. The stomach lining secretes an alkaline substance that counteracts the acid and prevents digestion.
D. The lining of the stomach secretes only hydrochloric acid and gastric juice.
E. The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the underlying tissues from the action of proteolytic enzymes of the stomach and duodenum.
F. The stomach is coated with a layer of strong antibiotics that kill digestive enzymes.
G. The stomach lining is replaced every 10 to 15 days.
H. The stomach has a high permeability to hydrogen ions.
I. The stomach has a unique pH that prevents enzymes from being active.
J. Digestive enzymes in the stomach are only activated by food, so they do not attack the stomach lining.","['A thick layer of fat surrounds the stomach, providing protection from digestive acids.'
 'Special bacteria in the stomach neutralize all digestive enzymes.'
 'The stomach lining secretes an alkaline substance that counteracts the acid and prevents digestion.'
 'The lining of the stomach secretes only hydrochloric acid and gastric juice.'
 'The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the underlying tissues from the action of proteolytic enzymes of the stomach and duodenum.'
 'The stomach is coated with a layer of strong antibiotics that kill digestive enzymes.'
 'The stomach lining is replaced every 10 to 15 days.'
 'The stomach has a high permeability to hydrogen ions.'
 'The stomach has a unique pH that prevents enzymes from being active.'
 'Digestive enzymes in the stomach are only activated by food, so they do not attack the stomach lining.']",E,4,,biology,stemez-Biology
9805,"A shower of protons from outer space deposits equal charges +q on the earth and the moon, and the electrostatic repulsion then exactly counterbalances the gravitational attraction. How large is q?
Options:
 A. R^2
B. GM_eM_i
C. 2GM_eM_i
D. q^2 / R^2
E. (GM_eM_i)^2
F. q / (4πε₀R^2)
G. (G^2M_eM_i) / R
H. qR^2
I. (GM_eM_i)/R
J. \surd(GM_eM_i)","['R^2' 'GM_eM_i' '2GM_eM_i' 'q^2 / R^2' '(GM_eM_i)^2' 'q / (4πε₀R^2)'
 '(G^2M_eM_i) / R' 'qR^2' '(GM_eM_i)/R' '\\surd(GM_eM_i)']",J,9,,physics,stemez-Physics
3726,"Which nuclide has an NMR frequency of 115.5 MHz in a 20.0 T magnetic field?
Options:
 A. 17O
B. 29Si
C. 31P
D. 19F
E. 13C
F. 15N
G. 27Al
H. 33S
I. 39K
J. 23Na",['17O' '29Si' '31P' '19F' '13C' '15N' '27Al' '33S' '39K' '23Na'],A,0,,chemistry,ori_mmlu-college_chemistry
9249,"For light of 620 nm wavelength, determine (a) the linear wave number and (b) the band width, in units of wavelength, for a Fourier spectrometer which gives a resolution of R = 0.4 cm- 1.
Options:
 A. Wave number = 1.62 × 10^6 per meter, Band width = 0.022 nm
B. Wave number = 1.55 × 10^6 per meter, Band width = 0.030 nm
C. Wave number = 1.65 × 10^6 per meter, Band width = 0.012 nm
D. Wave number = 1.58 × 10^6 per meter, Band width = 0.021 nm
E. Wave number = 1.70 × 10^6 per meter, Band width = 0.010 nm
F. Wave number = 1.61 × 10^6 per meter, Band width = 0.025 nm
G. Wave number = 1.59 × 10^6 per meter, Band width = 0.017 nm
H. Wave number = 1.60 × 10^6 per meter, Band width = 0.018 nm
I. Wave number = 1.50 × 10^6 per meter, Band width = 0.020 nm
J. Wave number = 1.61 × 10^6 per meter, Band width = 0.0153 nm","['Wave number = 1.62 × 10^6 per meter, Band width = 0.022 nm'
 'Wave number = 1.55 × 10^6 per meter, Band width = 0.030 nm'
 'Wave number = 1.65 × 10^6 per meter, Band width = 0.012 nm'
 'Wave number = 1.58 × 10^6 per meter, Band width = 0.021 nm'
 'Wave number = 1.70 × 10^6 per meter, Band width = 0.010 nm'
 'Wave number = 1.61 × 10^6 per meter, Band width = 0.025 nm'
 'Wave number = 1.59 × 10^6 per meter, Band width = 0.017 nm'
 'Wave number = 1.60 × 10^6 per meter, Band width = 0.018 nm'
 'Wave number = 1.50 × 10^6 per meter, Band width = 0.020 nm'
 'Wave number = 1.61 × 10^6 per meter, Band width = 0.0153 nm']",J,9,,physics,stemez-Optics
8622,"dy/dt = \sqrt{t}, y(1) = 1. What is y(4)?
Options:
 A. 7.789
B. 3.456
C. 6.778
D. 8.246
E. 4.567
F. 5.000
G. 5.667
H. 2.828
I. 4.899
J. 9.354","['7.789' '3.456' '6.778' '8.246' '4.567' '5.000' '5.667' '2.828' '4.899'
 '9.354']",G,6,,math,theoremQA-Math
5061,"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?
Options:
 A. Consider which mediums would most effectively reach all of the target audiences.
B. Consider how riding the bus could similarly affect all of the target audiences.
C. Consider the public perception of bus transportation among the target audiences.","['Consider which mediums would most effectively reach all of the target audiences.'
 'Consider how riding the bus could similarly affect all of the target audiences.'
 'Consider the public perception of bus transportation among the target audiences.']",B,1,,other,ori_mmlu-public_relations
4735,"Clovis points are NOT found in:
Options:
 A. Canada.
B. Mexico.
C. the continental United States.
D. Alaska.",['Canada.' 'Mexico.' 'the continental United States.' 'Alaska.'],D,3,,history,ori_mmlu-prehistory
8489,"What is the slope of the line that passes through the points (5, 4) and (–2, 3)?
Options:
 A. 0.1
B. 0.25
C. 0.5
D. 0.2
E. 1
F. 5
G. 0.14
H. 0.75
I. 0.33
J. 1.5",['0.1' '0.25' '0.5' '0.2' '1' '5' '0.14' '0.75' '0.33' '1.5'],G,6,,math,ori_mmlu-high_school_mathematics
1723,"The state registrar of elections refused to put a candidate's name on the ballot because the registrar believed that the candidate was not a resident of the state. The registrar contended that Article I, Section 2 of the U. S. Constitution specifically required a candidate for the House of Representatives ""be an Inhabitant of that State in which he shall be chosen. "" As a consequence, the candidate filed suit in state court against the registrar of elections seeking to have her name placed on the ballot. The state court ruled in her favor and determined that the candidate did, in fact, qualify as a resident of the state. The registrar appealed the decision to the state supreme court which, in turn, affirmed the lower court ruling. Thereafter, the candidate's name was placed on the ballot. After a hotly contested election, the candidate narrowly defeated the incumbent. However, at the time that the candidate was to be seated as a House member, the House of Representatives held hearings on her qualifications and eligibility. By a two-thirds vote, the House determined that the candidate was not a resident of the state at the time of her election and refused to seat her. The candidate then brought suit in federal district court against the Speaker and other officers of the House, seeking back pay and an order that she be seated in the House of Representatives. The defendants demurred, claiming lack of subject matter jurisdiction. Which of the following is the strongest constitutional argument supporting the defendants' demurrer?
Options:
 A. The suit should have been brought as an original action in the U. S. Supreme Court.
B. The federal court cannot intervene because it would disrupt the separation of powers.
C. Under Article III of the Constitution, the federal courts are not empowered to render advisory opinions.
D. The candidate lacks standing to sue because she was never officially a member of the House of Representatives.
E. The case should have been filed in the state court where the original residency determination was made.
F. The federal court lacks jurisdiction because the House of Representatives has exclusive authority to determine the qualifications of its members.
G. The case is moot because the term of office for which the candidate was elected has already ended.
H. There is no case or controversy between the candidate and the officers of the House of Representatives.
I. The candidate's claims are barred by the Eleventh Amendment.
J. The case presents a nonjusticiable political question.","['The suit should have been brought as an original action in the U. S. Supreme Court.'
 'The federal court cannot intervene because it would disrupt the separation of powers.'
 'Under Article III of the Constitution, the federal courts are not empowered to render advisory opinions.'
 'The candidate lacks standing to sue because she was never officially a member of the House of Representatives.'
 'The case should have been filed in the state court where the original residency determination was made.'
 'The federal court lacks jurisdiction because the House of Representatives has exclusive authority to determine the qualifications of its members.'
 'The case is moot because the term of office for which the candidate was elected has already ended.'
 'There is no case or controversy between the candidate and the officers of the House of Representatives.'
 ""The candidate's claims are barred by the Eleventh Amendment.""
 'The case presents a nonjusticiable political question.']",J,9,,law,ori_mmlu-professional_law
9304,"Spring scales are used to measure the net force applied to an object; a sonic motion detector is used to measure the object’s resulting acceleration. A graph is constructed with the net force on the vertical axis and the acceleration on the horizontal axis. Which of the following quantities is directly measured using the slope of this graph?
Options:
 A. Inertial mass
B. Gravitational mass
C. Kinetic energy
D. Velocity
E. Weight
F. Friction
G. Force
H. Momentum
I. Distance
J. Speed","['Inertial mass' 'Gravitational mass' 'Kinetic energy' 'Velocity' 'Weight'
 'Friction' 'Force' 'Momentum' 'Distance' 'Speed']",A,0,,physics,ori_mmlu-high_school_physics
